UF,Cidade,Índice
PB,Belém,"5,83"
PB,Boa Ventura,"5,83"
SC,Canelinha,"5,83"
TO,Chapada da Natividade,"5,83"
PB,Condado,"5,83"
PB,Emas,"5,83"
SC,Entre Rios,"5,83"
SP,Floreal,"5,83"
PB,Itatuba,"5,83"
RO,Jaru,"5,83"
SP,Mairiporã,"5,83"
RJ,Mangaratiba,"5,83"
RO,Ministro Andreazza,"5,83"
SE,Pacatuba,"5,83"
PR,Paiçandu,"5,83"
SC,Pouso Redondo,"5,83"
SP,Promissão,"5,83"
RJ,Rio de Janeiro²,"5,83"
PB,Santa Inês,"5,83"
SC,São Miguel do Oeste,"5,83"
TO,São Valério da Natividade,"5,83"
SP,Suzanápolis,"5,83"
SP,Tanabi,"5,83"
TO,Tocantinópolis,"5,83"
RJ,Três Rios,"5,83"
RN,Viçosa,"5,83"
PA,Anapu,"5,69"
CE,Beberibe,"5,69"
PE,Calumbi,"5,69"
MT,Denise,"5,69"
RS,Morro Redondo,"5,69"
MT,Nobres,"5,69"
MT,Nova Xavantina,"5,69"
GO,Orizona,"5,69"
SP,Pacaembu,"5,69"
SP,Paranapanema,"5,69"
PE,Passira,"5,69"
RS,Planalto,"5,69"
PB,Pocinhos,"5,69"
PR,Rebouças,"5,69"
RS,Santa Cruz do Sul,"5,69"
AL,Satuba,"5,69"
PE,Afogados da Ingazeira,"5,55"
SP,Aguas da Prata,"5,55"
PR,Bela Vista do Paraíso,"5,55"
PA,Belém²,"5,55"
PR,Capanema,"5,55"
GO,Goiás,"5,55"
SP,Guaratinguetá,"5,55"
PB,Nova Palmeira,"5,55"
BA,Oliveira dos Brejinhos,"5,55"
BA,Pau Brasil,"5,55"
SP,Pindorama,"5,55"
ES,São Domingos do Norte,"5,55"
PB,Solânea,"5,55"
PI,Agua Branca,"5,41"
MG,Alpinópolis,"5,41"
MS,Amambaí,"5,41"
MA,Amarante do Maranhão,"5,41"
PI,Arraial,"5,41"
RS,Barracão,"5,41"
MG,Formiga,"5,41"
SC,Garopaba,"5,41"
CE,Granja,"5,41"
SC,Imaruí,"5,41"
SC,Irineópolis,"5,41"
MT,Itanhangá,"5,41"
MS,Japorã,"5,41"
SC,Lauro Muller,"5,41"
SC,Macieira,"5,41"
SC,Mafra,"5,41"
PB,Mamanguape,"5,41"
MG,Maripá de Minas,"5,41"
MT,Mirassol d'Oeste,"5,41"
RS,Paim Filho,"5,41"
MS,Pedro Gomes,"5,41"
MT,Planalto da Serra,"5,41"
MT,Pontes e Lacerda,"5,41"
SC,Porto Belo,"5,41"
