,vl_licitacao,indicador1,indicador2,indicador3,indicador4,Id,Prob,Grupo
1113,"8.464,34","0,9238",1,"0,2500",0,1172,"0,0005",3
1114,"40.000,00","0,7491",0,"0,0000",1,1173,"1,0000",0
1115,"29.674,95","0,9055",0,"0,0000",0,1174,"0,2247",1
1116,"144.530,50","0,8799",0,"0,7500",0,1175,"0,0000",-1
1117,"452.400,00","1,0545",0,"0,0000",0,1176,"0,0290",1
1118,"80.000,00","1,0000",0,"0,6800",0,1177,"1,0000",6
1119,"34.944,00","0,7692",0,"0,7900",0,1179,"0,0000",-1
1120,"30.204,40","0,9907",0,"0,1900",0,1180,"0,0000",-1
1121,"18.880,00","0,6886",0,"0,0000",0,1181,"0,1017",1
1122,"1.400.000,00","1,0000",0,"0,0000",0,1182,"0,0077",1
1123,"65.520,00","0,1667",0,"0,0000",0,1183,"0,0169",1
1124,"840.237,63","0,9950",1,"0,5000",0,1184,"0,0000",-1
1125,"22.734,30","0,7038",0,"0,0000",0,1185,"0,1101",1
1126,"252.969,30","0,6878",0,"0,0000",0,1186,"0,0375",1
1127,"110.577,60","0,9483",0,"0,0000",0,1187,"0,1060",1
1128,"75,00","1,2667",0,"0,0000",0,1188,"0,0178",1
1129,"8.653,00","1,0373",0,"0,0000",0,1189,"0,1253",1
1130,"53.621,50","1,0000",1,"0,9000",0,1190,"0,0000",-1
1131,"15.921,00","0,9881",0,"0,4600",0,1191,"0,0000",-1
1132,"1,00","1000,0000",1,"0,2800",0,1192,"0,0000",-1
1133,"250.000,00","1,0000",1,"0,0000",0,1193,"1,0000",3
1134,"1.312.547,02","0,9992",1,"0,0000",0,1194,"0,0747",3
1135,"32.374,66","0,3821",0,"0,0000",0,1195,"0,0401",1
1136,"244.235,98","0,8127",0,"0,0000",0,1196,"0,0653",1
1137,"234.671,26","0,9607",0,"0,0000",0,1197,"0,0892",1
1138,"27.875,00","0,9865",0,"0,0000",0,1198,"0,3883",1
1139,"57.778,29","0,6404",0,"0,0000",0,1199,"0,0830",1
1140,"7.166,67","0,5581",0,"0,3300",0,1200,"0,0000",-1
1141,"113.056,49","0,8989",1,"0,0000",0,1201,"0,6153",3
1142,"180.480,00","1,0000",1,"0,0000",0,1202,"0,8436",3
1143,"9.053,44","0,6963",0,"0,0000",0,1203,"0,0954",1
1144,"17.052,00","1,0000",0,"0,0000",0,1204,"1,0000",1
1145,"885.351,72","0,7800",0,"0,0000",0,1205,"0,0157",1
1146,"12.672,00","1,0000",0,"0,0000",0,1206,"1,0000",1
1147,"19.600,00","0,9949",0,"0,9600",0,1207,"1,0000",2
1148,"60.000,00","0,9333",0,"0,3300",0,1208,"0,0000",-1
1149,"68.055,00","0,9992",1,"0,1800",0,1209,"0,0000",-1
1150,"15.452,50","0,9837",0,"0,1800",0,1210,"0,7500",5
1151,"84.875,79","0,8597",1,"0,0000",0,1212,"0,6985",3
1152,"32.773,12","0,6469",0,"0,6100",0,1215,"1,0000",7
1153,"38.793,60","1,0000",1,"0,1800",0,1218,"0,0000",-1
1154,"4.900,00","1,0000",0,"0,1800",0,1219,"0,7500",5
1155,"22.000,00","1,0000",0,"0,0000",0,1220,"0,9274",1
1156,"27.000,00","0,9000",0,"0,4900",0,1221,"0,0000",-1
1157,"98.664,17","1,0000",1,"0,2500",0,1222,"0,0005",3
1158,"27,76","1,0231",1,"0,0000",0,1223,"1,0000",3
1159,"6.538,00","0,6540",1,"0,6700",0,1224,"1,0000",4
